"file","source","license","author"
"wc-dam-angat.jpg","File:AngatDam.jpg","CC BY 3.0","Nikbert16 at English Wikipedia"
"wc-cllex-01.jpg","File:5488Central Luzon Link Expressway 01.jpg","CC0","Judgefloro"
"wc-cllex-02.jpg","File:Central Luzon Link Expressway - San Juan interchange (Feb 2026).jpg","CC0","RFNirmala"
"wc-cllex-03.jpg","File:Central Luzon Link Expressway 1.jpg","CC0","Judgefloro"
"wc-bridge-cclex.jpg","File:CCLEX Bridge drone dusk (Cebu City; 01-20-2026).jpg","CC BY-SA 4.0","Patrickroque01"
"wc-bridge-cclex2.jpg","File:Cebu-Cordova Link Expressway (CCLEX).jpg","CC BY 4.0","FlatteneseEmpire"
"wc-bridge-bucana.jpg","File:2025-07-19 Bucana Bridge 004.jpg","Public domain","Department of Public Works and Highways (DPWH)"
"wc-dam-watershed.jpg","File:Aerial view of Angat Watershed Forest Reserve.jpg","CC BY-SA 4.0","Arnell Gilberto Bercero"
"wc-transmission.jpg","File:FvfSanRoqueMarungkoAB0275 03.JPG","CC BY-SA 3.0","Judgefloro"
"wc-transmission2.jpg","File:FvfSanRoqueMarungkoAB0275 08.JPG","CC BY-SA 3.0","Judgefloro"
"wc-surveyor.jpg","File:Land Surveyor.jpg","CC BY-SA 3.0","Random Guy of the Century"
"wc-papi-survey.jpg","File:Laying out Precision Approach Path Indicator (PAPI) lights.jpg","Public domain","Tech. Sgt. Rey Ramon"
"wc-drone-field.jpg","File:BLM drone training (34216006294).jpg","Public domain","BLM Oregon &amp; Washington"
"wc-construction.jpg","File:OSF construction site (img 1853).jpg","CC BY 4.0","ALMA (ESO/NAOJ/NRAO)"
